Time,open,high,low,close
2009-01-12 06:00:00,1.3459,1.3462,1.338,1.3423
2009-01-12 10:00:00,1.3422,1.3423,1.3372,1.3416
2009-01-12 14:00:00,1.3415,1.3436,1.3325,1.3401
2009-01-12 18:00:00,1.34,1.3444,1.3372,1.3396
2009-01-12 22:00:00,1.3397,1.343,1.3289,1.3393
2009-01-13 02:00:00,1.3394,1.3413,1.3354,1.3362
2009-01-13 06:00:00,1.3363,1.337,1.3304,1.3324
2009-01-13 10:00:00,1.3325,1.3337,1.3244,1.3252
2009-01-13 14:00:00,1.3253,1.333,1.3221,1.3293
2009-01-13 18:00:00,1.3292,1.332,1.3188,1.3226
2009-01-13 22:00:00,1.3225,1.3244,1.316,1.316
2009-01-14 02:00:00,1.3159,1.3203,1.3141,1.318
2009-01-14 06:00:00,1.3178,1.3274,1.3171,1.3274
2009-01-14 10:00:00,1.3275,1.3313,1.3251,1.3299
2009-01-14 14:00:00,1.33,1.3336,1.3188,1.325
2009-01-14 18:00:00,1.3249,1.3258,1.3093,1.3117
2009-01-14 22:00:00,1.3118,1.3197,1.3113,1.3162
2009-01-15 02:00:00,1.3161,1.3194,1.3133,1.316
2009-01-15 06:00:00,1.3164,1.3219,1.3148,1.3173
2009-01-15 10:00:00,1.3171,1.3211,1.3155,1.3183
2009-01-15 14:00:00,1.3182,1.3233,1.3134,1.3159
2009-01-15 18:00:00,1.3158,1.3239,1.306,1.3061
2009-01-15 22:00:00,1.3064,1.3125,1.3026,1.3119
2009-01-16 02:00:00,1.3118,1.3185,1.311,1.3137
2009-01-16 06:00:00,1.3136,1.3213,1.3136,1.3211
2009-01-16 10:00:00,1.321,1.3276,1.3207,1.3239
2009-01-16 14:00:00,1.3238,1.3287,1.3185,1.3261
2009-01-16 18:00:00,1.3262,1.3343,1.3249,1.3281
2009-01-16 22:00:00,1.328,1.3285,1.321,1.3257
2009-01-17 02:00:00,1.3256,1.3309,1.3245,1.3266
2009-01-19 06:00:00,1.3349,1.3385,1.3313,1.3345
2009-01-19 10:00:00,1.3344,1.3372,1.3325,1.3339
2009-01-19 14:00:00,1.3338,1.3342,1.3245,1.3275
2009-01-19 18:00:00,1.3274,1.3279,1.3123,1.313
2009-01-19 22:00:00,1.3131,1.3173,1.3117,1.3147
2009-01-20 02:00:00,1.3148,1.3155,1.3058,1.3061
2009-01-20 06:00:00,1.3063,1.3105,1.299,1.3028
2009-01-20 10:00:00,1.3029,1.3032,1.2974,1.302
2009-01-20 14:00:00,1.3021,1.3026,1.292,1.2967
2009-01-20 18:00:00,1.2968,1.2998,1.2903,1.291
2009-01-20 22:00:00,1.2909,1.2958,1.2879,1.288
2009-01-21 02:00:00,1.2879,1.2912,1.2855,1.2859
2009-01-21 06:00:00,1.2858,1.298,1.2845,1.2967
2009-01-21 10:00:00,1.2966,1.3016,1.2919,1.292
2009-01-21 14:00:00,1.2921,1.2962,1.2861,1.2916
2009-01-21 18:00:00,1.2915,1.2967,1.2888,1.2949
2009-01-21 22:00:00,1.295,1.2955,1.2824,1.2889
2009-01-22 02:00:00,1.289,1.3085,1.2863,1.3066
2009-01-22 06:00:00,1.3065,1.3066,1.2943,1.3018
2009-01-22 10:00:00,1.3019,1.3058,1.2985,1.3006
2009-01-22 14:00:00,1.3007,1.3082,1.2967,1.3
2009-01-22 18:00:00,1.2999,1.3019,1.2906,1.297
2009-01-22 22:00:00,1.2969,1.3005,1.292,1.2982
2009-01-23 02:00:00,1.2983,1.3028,1.2974,1.3017
2009-01-23 06:00:00,1.3016,1.3016,1.2961,1.2967
2009-01-23 10:00:00,1.2966,1.2977,1.2922,1.2938
2009-01-23 14:00:00,1.2939,1.2975,1.2764,1.2823
2009-01-23 18:00:00,1.2822,1.2884,1.277,1.2817
2009-01-23 22:00:00,1.2816,1.3021,1.2785,1.302
2009-01-24 02:00:00,1.3021,1.3033,1.296,1.2973
2009-01-26 06:00:00,1.2916,1.2918,1.2861,1.2904
2009-01-26 10:00:00,1.2904,1.2951,1.2894,1.2925
2009-01-26 14:00:00,1.2924,1.2986,1.2872,1.2953
2009-01-26 18:00:00,1.2954,1.3146,1.2936,1.3139
2009-01-26 22:00:00,1.3139,1.3205,1.3094,1.3139
2009-01-27 02:00:00,1.314,1.3234,1.3098,1.3206
2009-01-27 06:00:00,1.3207,1.3246,1.3136,1.3244
2009-01-27 10:00:00,1.3244,1.3257,1.3177,1.3196
