,Date,Time,Open,High,Low,Close,Volume
1396,2021.04.29,00:00,1783.74,1789.87,1756.04,1773.12,83593
1397,2021.04.30,00:00,1773.11,1773.13,1764.11,1768.81,77814
1398,2021.05.02,00:00,1767.64,1769.04,1766.02,1769.04,2550
1399,2021.05.03,00:00,1769.03,1797.81,1767.27,1792.48,73878
1400,2021.05.04,00:00,1792.5,1798.92,1770.9,1778.51,83268
1401,2021.05.05,00:00,1778.36,1787.88,1770.37,1785.15,71801
1402,2021.05.06,00:00,1785.16,1817.97,1781.88,1814.67,86945
1403,2021.05.07,00:00,1814.46,1843.26,1812.71,1831.02,88171
1404,2021.05.09,00:00,1832.08,1836.86,1831.78,1836.39,3548
1405,2021.05.10,00:00,1836.2,1845.32,1829.91,1836.1,94318
1406,2021.05.11,00:00,1836.04,1841.65,1817.93,1835.43,92843
1407,2021.05.12,00:00,1835.54,1843.56,1813.2,1817.47,99873
1408,2021.05.13,00:00,1817.21,1828.62,1808.69,1824.98,97240
1409,2021.05.14,00:00,1824.99,1845.79,1819.71,1843.3,81968
1410,2021.05.16,00:00,1842.54,1848.01,1842.09,1847.06,2520
1411,2021.05.17,00:00,1846.83,1868.98,1843.48,1868.92,86933
1412,2021.05.18,00:00,1868.61,1874.88,1863.17,1870.05,82636
1413,2021.05.19,00:00,1869.71,1889.95,1852.18,1865.83,104617
1414,2021.05.20,00:00,1865.8,1883.74,1863.79,1873.93,89689
1415,2021.05.21,00:00,1873.81,1889.23,1870.03,1881.39,83215
1416,2021.05.23,00:00,1881.36,1883.71,1880.02,1883.47,2877
1417,2021.05.24,00:00,1883.26,1886.88,1875.11,1877.38,76869
1418,2021.05.25,00:00,1877.3,1900.13,1872.58,1898.16,84827
1419,2021.05.26,00:00,1898.13,1912.62,1890.59,1896.1,88092
1420,2021.05.27,00:00,1895.91,1903.59,1888.2,1897.96,83532
1421,2021.05.28,00:00,1897.85,1905.65,1882.21,1903.55,80838
1422,2021.05.30,00:00,1902.72,1904.75,1902.68,1903.76,2294
1423,2021.05.31,00:00,1903.75,1910.5,1901.99,1907.98,51121
1424,2021.06.01,00:00,1908.1,1916.46,1892.28,1898.78,83775
1425,2021.06.02,00:00,1898.75,1909.44,1894.35,1907.65,76802
1426,2021.06.03,00:00,1907.67,1909.51,1865.27,1870.9,86041
1427,2021.06.04,00:00,1870.86,1896.08,1855.87,1891.02,81825
1428,2021.06.06,00:00,1890.25,1890.68,1888.61,1889.26,1891
1429,2021.06.07,00:00,1889.24,1900.02,1881.44,1898.67,72592
1430,2021.06.08,00:00,1898.64,1903.59,1883.67,1893.28,74923
1431,2021.06.09,00:00,1893.14,1898.79,1887.21,1888.64,68372
1432,2021.06.10,00:00,1888.54,1899.77,1869.98,1898.25,83085
1433,2021.06.11,00:00,1898.27,1902.9,1874.36,1877.39,77523
1434,2021.06.13,00:00,1877.22,1877.53,1873.14,1873.59,3554
1435,2021.06.14,00:00,1873.41,1873.77,1844.69,1866.76,79807
1436,2021.06.15,00:00,1866.78,1869.04,1851.51,1857.76,77472
1437,2021.06.16,00:00,1857.73,1862.93,1803.33,1818.73,85977
1438,2021.06.17,00:00,1818.86,1825.18,1767.13,1776.66,115214
