,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,Time
34110,34110,1637942400,1.1293,1.13213,1.12827,1.13035,27352,0,0,2021-11-26 22:00:00
34111,34111,1637956800,1.13039,1.13303,1.12992,1.13215,9028,0,0,2021-11-27 02:00:00
34112,34112,1638144000,1.13002,1.13112,1.12799,1.1284,9036,0,0,2021-11-29 06:00:00
34113,34113,1638158400,1.12836,1.1285,1.12725,1.12779,7250,0,0,2021-11-29 10:00:00
34114,34114,1638172800,1.12779,1.12905,1.12603,1.12862,18611,0,0,2021-11-29 14:00:00
34115,34115,1638187200,1.12862,1.12949,1.12617,1.12623,13558,0,0,2021-11-29 18:00:00
34116,34116,1638201600,1.12624,1.12755,1.12584,1.12679,18771,0,0,2021-11-29 22:00:00
34117,34117,1638216000,1.12679,1.12928,1.12653,1.12902,7778,0,0,2021-11-30 02:00:00
34118,34118,1638230400,1.12883,1.13001,1.12825,1.12942,5302,0,0,2021-11-30 06:00:00
34119,34119,1638244800,1.12942,1.13133,1.12926,1.13112,8458,0,0,2021-11-30 10:00:00
34120,34120,1638259200,1.13113,1.13666,1.13074,1.13634,23957,0,0,2021-11-30 14:00:00
34121,34121,1638273600,1.1364,1.13729,1.13413,1.13659,17720,0,0,2021-11-30 18:00:00
34122,34122,1638288000,1.13659,1.1383,1.12354,1.13115,41277,0,0,2021-11-30 22:00:00
34123,34123,1638302400,1.13114,1.1345,1.13077,1.1338,12031,0,0,2021-12-01 02:00:00
34124,34124,1638316800,1.1335,1.1342,1.13179,1.13199,7854,0,0,2021-12-01 06:00:00
34125,34125,1638331200,1.13199,1.13371,1.13163,1.13365,6552,0,0,2021-12-01 10:00:00
34126,34126,1638345600,1.13368,1.13597,1.13025,1.13255,21295,0,0,2021-12-01 14:00:00
34127,34127,1638360000,1.13253,1.13406,1.13107,1.13373,16988,0,0,2021-12-01 18:00:00
34128,34128,1638374400,1.13373,1.13577,1.13153,1.13235,25033,0,0,2021-12-01 22:00:00
34129,34129,1638388800,1.13236,1.13299,1.13091,1.13193,12137,0,0,2021-12-02 02:00:00
34130,34130,1638403200,1.13176,1.13284,1.13128,1.13281,4663,0,0,2021-12-02 06:00:00
34131,34131,1638417600,1.1328,1.13394,1.13167,1.13182,5198,0,0,2021-12-02 10:00:00
34132,34132,1638432000,1.13181,1.13276,1.13073,1.13244,14545,0,0,2021-12-02 14:00:00
34133,34133,1638446400,1.13244,1.13478,1.13228,1.13341,18258,0,0,2021-12-02 18:00:00
34134,34134,1638460800,1.13343,1.13472,1.12958,1.13025,24682,0,0,2021-12-02 22:00:00
34135,34135,1638475200,1.13025,1.13082,1.12952,1.13006,8520,0,0,2021-12-03 02:00:00
34136,34136,1638489600,1.12996,1.13073,1.12907,1.12988,5179,0,0,2021-12-03 06:00:00
34137,34137,1638504000,1.12988,1.13025,1.12927,1.12995,4788,0,0,2021-12-03 10:00:00
34138,34138,1638518400,1.12995,1.13,1.12816,1.12975,12566,0,0,2021-12-03 14:00:00
34139,34139,1638532800,1.12975,1.13335,1.12882,1.13102,19535,0,0,2021-12-03 18:00:00
34140,34140,1638547200,1.13101,1.13145,1.12666,1.13109,32323,0,0,2021-12-03 22:00:00
34141,34141,1638561600,1.13109,1.13274,1.13012,1.13083,12160,0,0,2021-12-04 02:00:00
34142,34142,1638748800,1.12995,1.13104,1.12882,1.12943,5891,0,0,2021-12-06 06:00:00
